epoch,accuracy,loss,val_accuracy,val_loss
0,0.3623028,1.3328411772810056,0.4005763828754425,1.29896277481266
1,0.6263493,1.0146822324922267,0.6426513195037842,0.9529876152445329
2,0.7885414,0.6019306347504105,0.680115282535553,0.7983987305624685
3,0.84638804,0.4198849618707111,0.6772334575653076,0.8108456243012069
4,0.8787711,0.33457372283757375,0.6916426420211792,0.8077163083065484
5,0.9042347,0.2677054284287396,0.6599423885345459,0.8863908050726745
6,0.9261002,0.21910641941046272,0.680115282535553,0.9659679995833625
7,0.9465818,0.18071367148873946,0.680115282535553,0.998069425996511
8,0.9507335,0.15767940532425384,0.6714697480201721,1.122520623358251
9,0.9584833,0.1386442451250378,0.680115282535553,1.1044813006343346
10,0.9642956,0.12091653897983032,0.6599423885345459,1.1431801528683314
11,0.9659563,0.10984561940948455,0.6599423885345459,1.2252204658662207
12,0.96955436,0.10153856236305125,0.6657060384750366,1.199381595729751
13,0.97259897,0.09516752170388006,0.6570605039596558,1.254298160330363
14,0.9728757,0.08807197142750181,0.6657060384750366,1.29848508223333
15,0.9753667,0.07976536741472498,0.6541786789894104,1.3465684992435687
16,0.97232217,0.08121948305042108,0.6541786789894104,1.44914850103065
17,0.97342926,0.07852480359583755,0.639769434928894,1.3996439272113768
18,0.97592026,0.07392989540843299,0.6426513195037842,1.4246984689311266
19,0.97647387,0.07033730480163143,0.6455331444740295,1.4330875100594775
20,0.97730416,0.06703953309680101,0.6455331444740295,1.4730496770710355
21,0.9767506,0.06576954252520922,0.6599423885345459,1.4624088504472452
22,0.9784113,0.06270894145919384,0.6541786789894104,1.5214835711102663
23,0.9770274,0.06175729377288552,0.651296854019165,1.510321089101456
24,0.9784113,0.05943878346818522,0.651296854019165,1.5710631732638356
